name,time,addr,device,mean,rssi,
rssi,1675253555839005000,d74adea29cf7,rasp0,-68.6,-73,
rssi,1675253556812454000,d74adea29cf7,rasp0,-68.7,-61,
rssi,1675253557543397000,d74adea29cf7,rasp0,-68.7,-71,
rssi,1675253557819319000,d74adea29cf7,rasp0,-68.9,-74,
rssi,1675253558328587000,d74adea29cf7,rasp0,-69.3,-65,
rssi,1675253559845851000,d74adea29cf7,rasp0,-69.7,-72,
rssi,1675253560856616000,d74adea29cf7,rasp0,-68.4,-60,
rssi,1675253561811314000,d74adea29cf7,rasp0,-68.5,-64,
rssi,1675253562818284000,d74adea29cf7,rasp0,-68.5,-70,
rssi,1675253563960405000,d74adea29cf7,rasp0,-67.9,-69,
rssi,1675253565341612000,d74adea29cf7,rasp0,-66.6,-60,
rssi,1675253566299486000,d74adea29cf7,rasp0,-66.8,-63,
rssi,1675253567420893000,d74adea29cf7,rasp0,-66.7,-70,
rssi,1675253567964967000,d74adea29cf7,rasp0,-65.7,-64,
rssi,1675253568839877000,d74adea29cf7,rasp0,-66.3,-71,
rssi,1675254045784003000,d74adea29cf7,rasp0,-61,-61,
rssi,1675254046225380000,d74adea29cf7,rasp0,-61.5,-62,
rssi,1675254046770255000,d74adea29cf7,rasp0,-62,-63,
rssi,1675254047732200000,d74adea29cf7,rasp0,-63.25,-67,
rssi,1675254048396209000,d74adea29cf7,rasp0,-62.8,-61,
rssi,1675254048747074000,d74adea29cf7,rasp0,-62.16666667,-59,
rssi,1675254049250469000,d74adea29cf7,rasp0,-62.42857143,-64,
rssi,1675254049757962000,d74adea29cf7,rasp0,-62.25,-61,
rssi,1675254050260247000,d74adea29cf7,rasp0,-62.22222222,-62,
rssi,1675254051705319000,d74adea29cf7,rasp0,-62.3,-63,
rssi,1675254053218962000,d74adea29cf7,rasp0,-62.8,-66,
rssi,1675254054762472000,d74adea29cf7,rasp0,-63.6,-70,
rssi,1675254055241779000,d74adea29cf7,rasp0,-63.5,-62,
rssi,1675254056214207000,d74adea29cf7,rasp0,-63,-62,
rssi,1675254056720735000,d74adea29cf7,rasp0,-63.9,-70,
rssi,1675254058347303000,d74adea29cf7,rasp0,-64.9,-69,
rssi,1675254059234461000,d74adea29cf7,rasp0,-64.6,-61,
rssi,1675254059739495000,d74adea29cf7,rasp0,-65.4,-69,
rssi,1675254060245828000,d74adea29cf7,rasp0,-65.9,-67,
rssi,1675254060749412000,d74adea29cf7,rasp0,-67.5,-79,
rssi,1675254061209633000,d74adea29cf7,rasp0,-69.1,-82,
rssi,1675254061718216000,d74adea29cf7,rasp0,-70.3,-82,
rssi,1675254064246739000,d74adea29cf7,rasp0,-70.2,-61,
rssi,1675254064751612000,d74adea29cf7,rasp0,-70.7,-67,
rssi,1675254065259156000,d74adea29cf7,rasp0,-70.2,-65,
rssi,1675254066703811000,d74adea29cf7,rasp0,-70.6,-73,
rssi,1675254067208101000,d74adea29cf7,rasp0,-71,-65,
rssi,1675254068217881000,d74adea29cf7,rasp0,-70.2,-61,
rssi,1675254068717896000,d74adea29cf7,rasp0,-69.7,-62,
rssi,1675254069767220000,d74adea29cf7,rasp0,-68.5,-67,
rssi,1675254070475863000,d74adea29cf7,rasp0,-66.2,-59,
rssi,1675254071207383000,d74adea29cf7,rasp0,-63.8,-58,
rssi,1675254071708916000,d74adea29cf7,rasp0,-64.6,-69,
rssi,1675254072389742000,d74adea29cf7,rasp0,-64.2,-63,
rssi,1675254072720951000,d74adea29cf7,rasp0,-64.3,-66,
rssi,1675254074744256000,d74adea29cf7,rasp0,-64.1,-71,
rssi,1675254078219964000,d74adea29cf7,rasp0,-64.9,-73,
rssi,1675254078726169000,d74adea29cf7,rasp0,-65.3,-65,
rssi,1675254079820579000,d74adea29cf7,rasp0,-65,-59,
rssi,1675254080234165000,d74adea29cf7,rasp0,-65.6,-73,
rssi,1675254081198532000,d74adea29cf7,rasp0,-66.7,-70,
rssi,1675254081701529000,d74adea29cf7,rasp0,-67.1,-62,
rssi,1675254082206467000,d74adea29cf7,rasp0,-66.5,-63,
rssi,1675254082713012000,d74adea29cf7,rasp0,-67.3,-71,
rssi,1675254084229369000,d74adea29cf7,rasp0,-67.9,-72,
rssi,1675254085235064000,d74adea29cf7,rasp0,-68.1,-73,
rssi,1675254087217691000,d74adea29cf7,rasp0,-67.8,-70,
rssi,1675254087721364000,d74adea29cf7,rasp0,-68,-67,
rssi,1675254088232441000,d74adea29cf7,rasp0,-68.1,-60,
rssi,1675254088740324000,d74adea29cf7,rasp0,-67.8,-70,
rssi,1675254089245708000,d74adea29cf7,rasp0,-66.8,-60,
rssi,1675254089754549000,d74adea29cf7,rasp0,-66.8,-62,
rssi,1675254091203923000,d74adea29cf7,rasp0,-66.4,-59,
rssi,1675254091706648000,d74adea29cf7,rasp0,-65.8,-65,
rssi,1675254092212196000,d74adea29cf7,rasp0,-65,-64,
rssi,1675254093229932000,d74adea29cf7,rasp0,-64.5,-68,
rssi,1675254093736693000,d74adea29cf7,rasp0,-64.2,-67,
rssi,1675254094241858000,d74adea29cf7,rasp0,-64,-65,
rssi,1675254095254150000,d74adea29cf7,rasp0,-64.1,-61,
rssi,1675254095762163000,d74adea29cf7,rasp0,-63.1,-60,
rssi,1675254096698016000,d74adea29cf7,rasp0,-63.5,-64,
rssi,1675254097208282000,d74adea29cf7,rasp0,-63.7,-64,
rssi,1675254097716770000,d74adea29cf7,rasp0,-64.1,-63,
rssi,1675254098219160000,d74adea29cf7,rasp0,-64.4,-68,
rssi,1675254098718762000,d74adea29cf7,rasp0,-64.4,-64,
rssi,1675254099726643000,d74adea29cf7,rasp0,-63.9,-63,
rssi,1675254100231567000,d74adea29cf7,rasp0,-63.4,-62,
rssi,1675254100737230000,d74adea29cf7,rasp0,-63.1,-62,
rssi,1675254101198221000,d74adea29cf7,rasp0,-63.9,-69,
rssi,1675254102707595000,d74adea29cf7,rasp0,-64.2,-63,
rssi,1675254105741180000,d74adea29cf7,rasp0,-64.4,-66,
rssi,1675254106197496000,d74adea29cf7,rasp0,-65,-70,
rssi,1675254107204617000,d74adea29cf7,rasp0,-65,-63,
